GUMTREEURL,MICROCHIPNUMBER
https://www.gumtree.com.au/s-ad/maitland/dogs-puppies/keinbah-retired-greyhounds/1327714281,956000002541398
https://www.gumtree.com.au/s-ad/maitland/dogs-puppies/keinbah-retired-greyhounds/1327714281,956000035286523
https://www.gumtree.com.au/s-ad/newcastle/dogs-puppies/greyhound-seeking-loving-home/1328524049,956000012966370
https://www.gumtree.com.au/s-ad/camden-south/dogs-puppies/retired-greyhound/1329557466,956000007839565
https://www.gumtree.com.au/s-ad/south-penrith/dogs-puppies/gracie-the-greyhound/1329531365,956000117817231
https://www.gumtree.com.au/s-ad/lethbridge-park/dogs-puppies/greyhound-/1328664517,978142000122324
https://www.gumtree.com.au/s-ad/raymond-terrace/dogs-puppies/greyhound-for-rehoming-/1328641892,956000007434365
https://www.gumtree.com.au/s-ad/wallsend/dogs-puppies/retired-greyhounds-chasing-forever-homes/1329037375,956000014812120
https://www.gumtree.com.au/s-ad/fairfield/dogs-puppies/greyhound-for-adoption-meet-boots-/1329441183,956000014814331
https://www.gumtree.com.au/s-ad/tenambit/dogs-puppies/fawn-greyhound/1329408827,956000007172356
https://www.gumtree.com.au/s-ad/glenhaven/dogs-puppies/greyhound-ex-racing-bitch-available-for-rehoming/1329404966,956000011711704
https://www.gumtree.com.au/s-ad/mullaway/dogs-puppies/greyhound-3-y-old-male/1329393431,956000011705180
https://www.gumtree.com.au/s-ad/cessnock/dogs-puppies/-bear-is-looking-for-his-forever-home-/1328894504,956000011350264
https://www.gumtree.com.au/s-ad/cessnock/dogs-puppies/-nicky-the-greyhound-is-looking-for-his-forever-home-/1329082228,956000007852572
https://www.gumtree.com.au/s-ad/tinonee/dogs-puppies/free-greyhound-/1329371889,956000015750631
https://www.gumtree.com.au/s-ad/sydney-city/dogs-puppies/greyhound-female-black-small-20kg-/1329139595,956000011369492
https://www.gumtree.com.au/s-ad/sydney-city/dogs-puppies/greyhound-male-fawn-medium-size-27kg-/1329162604,956000011365232
https://www.gumtree.com.au/s-ad/cranebrook/dogs-puppies/melthegreyhound-ideal-companion-small-6-year-old-retired-desexed-free-/1329119271,956000045643767
https://www.gumtree.com.au/s-ad/londonderry/dogs-puppies/greyhound-young-retired-racer-free-to-good-home-/1317307490,956000007374159
https://www.gumtree.com.au/s-ad/londonderry/dogs-puppies/greyhound-dog-for-sale/1329011327,956000009592199
https://www.gumtree.com.au/s-ad/cranebrook/dogs-puppies/boots-the-greyhound-desexed-free-/1328810941,956000045438584
https://www.gumtree.com.au/s-ad/penrith/dogs-puppies/greyhound-free/1328810262,956000014510088
https://www.gumtree.com.au/s-ad/kogarah/dogs-puppies/male-greyhound-brindle/1335143194,956000016289997
https://www.gumtree.com.au/s-ad/londonderry/dogs-puppies/beautiful-blue-greyhound-/1334905642,956000011585981
https://www.gumtree.com.au/s-ad/werombi/dogs-puppies/ernie-the-greyhound-/1334013205,956000007420917
https://www.gumtree.com.au/s-ad/argenton/dogs-puppies/greyhounds-as-pets-free-/1329711283,956000007851461
https://www.gumtree.com.au/s-ad/maitland/dogs-puppies/keinbah-retired-greyhounds-/1331731395,956000025825611
https://www.gumtree.com.au/s-ad/maitland/dogs-puppies/keinbah-retired-greyhounds-/1331731395,956000004758247
https://www.gumtree.com.au/s-ad/swan-bay/dogs-puppies/greyhounds-to-rehome-/1334870287,956000045630756
https://www.gumtree.com.au/s-ad/dubbo/dogs-puppies/greyhound-companion-pet-dog/1334772485,956000016776124
https://www.gumtree.com.au/s-ad/dubbo/dogs-puppies/greyhound-companion-dog/1333723258,956000111222333
https://www.gumtree.com.au/s-ad/mullaway/dogs-puppies/greyhound-as-pet-giveaway-danny/1335097672,956000011705180
https://www.gumtree.com.au/s-ad/trafalgar-east/dogs-puppies/greyhounds-free-to-a-good-home-/1334478787,956000012164944
https://www.gumtree.com.au/s-ad/trafalgar-east/dogs-puppies/greyhounds-free-to-a-good-home-/1334478787,956000012114142
https://www.gumtree.com.au/web/listing/dogs-puppies/1341539736,956000007426210
https://www.gumtree.com.au/web/listing/dogs-puppies/1341027221,956000014889733
https://www.gumtree.com.au/web/listing/dogs-puppies/1341027035,956000017212041
https://www.gumtree.com.au/web/listing/dogs-puppies/1341191180,956000015733757
https://www.gumtree.com.au/web/listing/dogs-puppies/1341187340,956000007423515
https://www.gumtree.com.au/web/listing/dogs-puppies/1338893716,956000042784534
https://www.gumtree.com.au/web/listing/dogs-puppies/1340114971,956000012805944
https://www.gumtree.com.au/web/listing/dogs-puppies/1339493194,956000012863981
https://www.gumtree.com.au/web/listing/dogs-puppies/1341170711,956000052796334
https://www.gumtree.com.au/web/listing/dogs-puppies/1341170711,956000743842352
https://www.gumtree.com.au/web/listing/dogs-puppies/1341170711,956000035628235
https://www.gumtree.com.au/web/listing/dogs-puppies/1341198265,965000045687232
https://www.gumtree.com.au/web/listing/dogs-puppies/1341198265,965000726412353
https://www.gumtree.com.au/web/listing/dogs-puppies/1341518699,982000123456789
https://www.gumtree.com.au/web/listing/dogs-puppies/1341681950,956000007426756
https://www.gumtree.com.au/web/listing/dogs-puppies/1341281150,956000011646110
https://www.gumtree.com.au/web/listing/dogs-puppies/1341170711,956000052796334
https://www.gumtree.com.au/web/listing/dogs-puppies/1341170711,956000743842352
https://www.gumtree.com.au/web/listing/dogs-puppies/1341170711,956000035628235
https://www.gumtree.com.au/web/listing/dogs-puppies/1341699192,956000011357113
https://www.gumtree.com.au/web/listing/dogs-puppies/1341960409,956000009479761
https://www.gumtree.com.au/web/listing/dogs-puppies/1341960409,956000014505096
