"DATEOFBIRTH","LOCATION","MICROCHIPNUMBER","NAME","RECORDEDDATE","SEX","SPECIFICNEEDS","TEXT","URLNAME","WHATWEHAVENOTICED"
"2022-04-01","New England","956000011360980","Angel","2025-12-06","FEMALE","","Meet Our Black-and-White Beauty - Charlies Angel AKA Angel This fun-loving young greyhound is full of energy and charm! With her striking black-and-white coat and playful personality, she’s sure to steal hearts wherever she goes. She’s active and loves to run, play, and explore, making her the perfect companion for someone who enjoys an adventurous lifestyle. Despite her zest for life, she’s also sweet and affectionate, always ready for a cuddle after a day of fun. If you’re looking for a social, spirited, and loving friend to brighten your days, this gorgeous girl is ready to join your family!","angel-10",""
"2022-01-01","New England","956000011711816","Pepper","2025-12-06","FEMALE","","Pepper is a stunning 3-year-old brindle greyhound with a vibrant personality! She’s sweet, smart, and full of playful energy always ready for a game or a cuddle. Pepper is wonderfully social and loves spending time with people and other dogs, making her the perfect companion for an active and loving home. Her intelligence and affectionate nature mean she’ll quickly become your best friend and a cherished member of the family. If you’re looking for a fun, loving, and loyal companion, Pepper is ready to bring joy and excitement into your life!","pepper-7",""
"2019-10-01","New England","956000007831128","Bindi","2025-12-06","FEMALE","","Bindi is a beautiful 6-year-old fawn greyhound with a heart full of love and a gentle nature. She adores snuggles and will happily curl up beside you for some quality cuddle time. Bindi is fantastic with kids and gets along wonderfully with other dogs, making her an ideal addition to a family home. Her calm, affectionate personality and sweet demeanor will melt your heart every single day. If you’re looking for a loyal, loving companion who thrives on affection and brings peace and joy to your home, Bindi is the perfect match!","bindi-7",""
"2023-05-01","New England","956000015741465","Sylvie","2025-12-06","FEMALE","","Sylvie is a gorgeous 2.5 year old greyhound with a heart full of love and a playful streak that will brighten your day. She’s sweet, affectionate, and always ready for cuddles, her favorite thing is being close to her people. Sylvie loves to play and explore, making her a wonderful companion for an active family or anyone who enjoys fun and snuggles in equal measure. If you’re looking for a loyal friend who will shower you with affection and bring joy to your home, Sylvie is the perfect match!","sylvie",""
"2021-11-01","Central West (Bathurst/Dubbo/Coonabarabran)","956000012861144","Jasper","2025-12-06","MALE","","🐾 Meet Jasper! 💙 Jasper is an affectionate, sweet, and kind-hearted boy who just wants to be loved. 🐶 He’s playful and gentle, with so much potential to shine in the right home. He’s still learning and will need a supportive family to continue his training and help build his confidence. Jasper would do best with older, understanding children and could get along well with a compatible medium-large dog. If you're ready to open your heart to a truly lovable companion, Jasper is waiting for you! 💕","jasper-5",""
"2022-11-01","New England","956000011312669","Dior","2025-12-06","FEMALE","","Dior is a stunning young lady with a gentle soul and a playful spirit. She’s the perfect mix of elegance and affection, making her an ideal companion for any family. Dior is wonderfully social, she gets along beautifully with kids, cats, and other dogs, creating harmony wherever she goes. Her sweet nature indoors and love for snuggles make her a joy to have at home, while her curious and fun personality shines during walks and playtime, If you’re looking for a loving, adaptable, and well-mannered friend, Dior is ready to steal your heart!","dior-1",""
"2022-11-01","Western Sydney (Londonderry)","956000015748843","Elsa (Western Sydney)","2025-12-06","FEMALE","","Do you wanna build a snowman? or perhaps a bond to last a lifetime? MEET ELSA! At first, this sweet girl can be a little quiet, think “gentle snowfall,” not a blizzard but give her a moment and she’ll reveal a warm, affectionate personality that shines brighter than a frozen palace at sunrise. Elsa may have just three legs, but don’t worry, she gets around beautifully, and what she lacks in limbs she more than makes up for with love, charm, and an irresistible sparkle. She’s proof that being a little different just makes you more magical. ✨ Because she needs space to move comfortably and confidently, Elsa would be happiest as the one and only royal in her castle. A home without stairs is ideal too, so she can glide gracefully without having to conquer any mountains (even if she could, she shouldn’t have to!). If you’re ready to welcome a princess with courage, charm, and a heart as warm as summer, Elsa is ready to choose you. ❄️💙","elsa-8",""
"2023-06-01","Western Sydney (Londonderry)","956000015762227","Wilma","2025-12-06","FEMALE","","Wilma is ready to find a place to call home! This sweet girl can be a little shy at first, but with a chance to warm up, she'll be your Bestie in no time! Wilma gets along not only with her Greyhound mates, but smaller dogs too. Pending a meet and greet, she wouldn't mind sharing her new home with one or two other canine companions. Wilma also responds well to her name and travels well! If you think Wilma could be the one for you, meet her at Western Sydney!","wilma-2",""
"2022-07-01","Northern Rivers (Grafton, Lismore, Casino)","956000007431612","Bernie","2025-12-06","MALE","","Bernie is a laid-back legend who loves car rides and walks! He’s great on the lead and enjoys taking life at a relaxed pace. While he might be a little shy at first, Bernie warms up quickly and will soon be your loyal mate. He’s easy-going, chilled, and gets along with all dogs—making him the perfect companion for a calm and happy home. “Bernie – Your easy-going adventure buddy!”","bernie-2",""
"2021-05-01","Western Sydney (Londonderry)","956000012206029","Jude","2025-12-06","MALE","","Hey Jude! Jude is a sweet lad, who is suitable to live with small or big dogs. He is a confident boy who would do well in urban/city environments and would suit longer hours alone if required. He would prefer a home without stairs but could live in a unit with a lift access. This affectionate, calm boy would be a lovely match for a family with respetcful children, too. Meet Jude at Western Sydney.","jude",""
