"DATEOFBIRTH","LOCATION","MICROCHIPNUMBER","NAME","RECORDEDDATE","SEX","SPECIFICNEEDS","TEXT","URLNAME","WHATWEHAVENOTICED"
"2021-09-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000013024094","Rex","2025-03-03","MALE","","Rexie Rex is a beautiful confident boy, he is fun and loves to play and splash in water but he's also gentle as a lamb. He has grown up on the farm all his life and is enjoying the new routines of his retirement, loving attention when he plays and also leaning on you for affection, more pats please! He's also an excellent walker on the lead. Rex has a lovely nature and gets along with people, kids 10+, birds and other breeds of dogs big or small. He would make a beautiful, loving pet for most households and would keep you amused with his antics and joy for life then snuggles when it's time to rest. 💌","rex-4",""
"2019-06-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000007842424","Julie","2025-03-03","FEMALE","","Miss Julie is a playful, confident girl who loves her toys, a run around with the other dogs (retired greyhounds and Jug), a splash in her clam shell pool and just being around people and kids 7+, too. She's a bit of a character, loves to show off but she's not over the top, just a happy girl! At 6 she hasn't lost energy but slows down faster and rests longer, especially as she is learning the comforts of retired life! Julie has grown up on the farm and has come into town life ready for her new home. She has taken to a nice cosy bed on the floor and loves being on the patio as well on the warm nights. She would suit someone, a couple or family with the time to get to know her, take her for a walk and have a bit of playtime with her in the morning, especially if you are going off to work. Some toys, an outdoor bed, pool, sandpit or another dog friend will keep her company for the day, plus plenty of rests. She's easy going and not worried by pet birds or little fluffy dogs. Just a sweetheart ready to relish retired life. 💗","julie-7",""
"2018-04-01","Western Sydney (Londonderry)","956000009435970","Debra","2025-03-03","FEMALE","","Meet Debra, the hilarious and playful girl who will keep you smiling all day long! Debra loves to bounce around and show off her excitable personality, often offering a fun play bow! She is highly people social and always eager to be near her humans, and enjoy snuggling right up to you when on the couch. Debra's also a big fan of meeting new people - she’ll be the first to trot up to strangers for some pats! Thanks to her strong food drive, Debra is an absolute dream when it comes to training. She has excellent name recall, responds well to commands like ""on your bed"" ""off"" ""down"" and ""shake"". When it comes to walks, Debra is a pro on the lead and this adventurous girl would do well in a quieter dog populated neighbourhood to make her walks breezy and enjoyable! Debra would thrive in a home with kids who have experience with bigger dogs and can appreciate her bouncy nature. She could also adapt well to a household with full-time workers and is apartment-friendly - Making her a great fit to many kinds of homes! Debra has shown to get along well with other medium to large dogs, meaning she could be a great fit for a family looking to add to their furry companions. This adorable and well rounded girl is available now at our Western Sydney location!","debra-1",""
"2016-11-01","Central West (Bathurst/Dubbo/Coonabarabran)","956000005413287","Dora","2025-03-03","FEMALE","","Pleased to introduce you to the wonderful Dora! Dora is a senior lady looking to share her love with a new family. Dora has spent time living with a young family for approx 12 months & is now ready to find her forever home. She loves young children. Very patient & calm with them. Dora is gentle, kind & affectionate. Engaging in sweet cuddles & kisses. Dora may adapt to living on her own or in an apartment. Confident & content, she might well adapt to full-time workers as well :)","dora-2",""
"2020-09-01","Western Sydney (Londonderry)","956000013091352","Joy","2025-03-03","FEMALE","","Fill your home with Joy! Sweet and little girl Joy is a very lovely girl! She is polite with the other dogs she has met and could be suited to living with another large breed dog. She is calm in the yard and has shown the ability to settle for short hours, possibly being able to build to longer hours. A home with older and respectful children could be suitable for Joy. A bundle of joy, apply to adopt this darling girl today!","joy-1",""
"2019-08-01","Central West (Bathurst/Dubbo/Coonabarabran)","956000006702904","Millie","2025-03-03","FEMALE","","Looking for a sweetheart that loves children, engaging in fun play & snuggling? Then Millie is the girl for you! Millie is very excitable & playful! Loves to run around being a little silly & cheeky. Quick to jump in a body of water.... even on picture day hehe :)","millie-4",""
"2020-09-01","Central West (Bathurst/Dubbo/Coonabarabran)","956000007821199","Timmy","2025-03-03","MALE","","Timmy is the life of the party! and a self-proclaimed ladies' man! He loves attention & affection. Loves to run around, playing & being a bit of a goof! Timmy would love to find a family who will play, throw, catch & then snuggle in for some TLC! He is a confident & curious fellow who will join the family on adventures to make those memories even more special :)","timmy-6",""
"2023-06-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000015747092","Pockets","2025-03-03","FEMALE","","Pockets is a stunning 2-year-old white and brindle girl who has been a beloved pet her entire life. She’s easy to handle, does everything right, and has a calm, well-mannered nature. Having grown up on a farm and around children from a young age, Pockets is fantastic with kids and adapts well to different environments. She’s quiet—never a barker—and walks beautifully on the lead. She’s also small-dog and cat workable with the right time and training. Whether you’re looking for a loving family pet or a loyal companion, Pockets is the perfect match! Ready to meet Pockets? Contact us today!","pockets",""
"2018-12-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000006796484","Venus","2025-03-03","FEMALE","","Meet Venus – The Perfect Family Companion! Venus is a beautiful 6-year-old fawn girl with a loving and playful nature. She enjoys her daily walks and a fun play in the backyard but is just as happy relaxing indoors. Having lived inside for the past three months, Venus is well-adjusted to home life. She has grown up around children as young as two, making her a great fit for a family home. She walks well on the lead and is both apartment-friendly and suitable for full-time workers. If you’re looking for a gentle and adaptable companion, Venus is ready to steal your heart! Contact us today to meet Venus!","venus-2",""
"2022-10-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000014888373","Jamillie","2025-03-03","FEMALE","","Meet Jamillie – A Loving and Confident Companion! Jamillie is a sweet and affectionate small female, weighing just 22kg. As the sister of Blaze and Poppy, she shares the same wonderful temperament—gentle, loving, and full of confidence. She is fully crate trained and inside trained, making her a well-mannered addition to any home. Jamillie is great with kids and is small-dog workable, meaning she can adapt well with proper introductions. If you’re looking for a loyal and affectionate companion, Jamillie could be the perfect match for you! Interested in meeting Jamillie? Get in touch today!","jamillie",""
