"DATEOFBIRTH","LOCATION","MICROCHIPNUMBER","NAME","RECORDEDDATE","SEX","SPECIFICNEEDS","TEXT","URLNAME","WHATWEHAVENOTICED"
"2024-02-01","Western Sydney (Londonderry)","956000016305360","Peppe","2026-06-01","MALE","","Peppe is a gorgeous, very sweet 2 year old boy, ready for his next step! He’s a sweet, mostly confident, but due to his young age he can take time to process new situations, but he becomes more engaged as he settles. He’s polite with other greyhounds, offering calm sniffs before moving on and could live with another dog his size. He’s fine in the crate with a little encouragement and settles once inside. Peppe is a gentle boy who will thrive with consistency to build confidence and continue developing into a lovely pet. As he is young, he has a whole exciting life ahead of him and he can't wait to meet you! Meet Peppe at Western Sydney.","peppe-8",""
"2023-02-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000015950253","Stanley","2026-06-01","MALE","","Stanley is lovely, friendly, soft-natured boy who loves to cuddle. He has a quiet nature and just loves to be around you and check out what you're doing as you go about your day - a sticky beak! He is an easy-going, gentle lad who will be your best friend. Stanley is the perfect gentleman and companion for retirees or workers, he doesn't need much of a walk or trips in the car, he's just happy to hang about at home. Stanley isn’t an energetic boy, very easy-care who would make a wonderful pet, also great with the grandchildren 9 and 13 when they come to visit. 🐾💙","stanley-7",""
"2022-10-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000014801733","Cheesey","2026-06-01","MALE","","Meet Cheesey – Your Loyal, Lovable Sidekick 🐾 Cheesey is a lovely-natured boy with a gentle, caring heart. He absolutely adores kids aged 10–13 and thrives on attention, pats, and plenty of love. When you come home, he’ll greet you with happy excitement, then quickly settle down after pats and play, content just to be by your side. On walks, Cheesey is a dream - once he get sgoing he happily strolls at your pace and enjoys taking in the world with you. After a nice walk and a zoom around the yard or some fun with his toys, he’s more than ready to flop on the floor for a well-earned rest. He’s attentive, loyal, and eager to please, making him a very trainable companion. Cheesey loves splashing in his water bowl or cooling off in a shell pool — he’s got a playful streak and a bit of a cheeky character that will keep you smiling. Importantly, Cheesey is also wonderfully patient and independent. He’s perfectly happy to relax on his own during the day if you’re at work - no fuss, no hassle. Just a steady, easygoing boy waiting for his people to come home. 🐾💙","cheesey",""
"2022-07-01","Western Sydney (Londonderry)","956000011780316","Tommy","2026-06-01","MALE","","Tommy is a gentle and sweet male greyhound who simply needs a little time to feel safe in new surroundings. When he first arrived, he was understandably nervous and avoidant with staff, but it didn’t take long for his true personality to shine through. Once he settled in, Tommy quickly warmed up and showed himself to be a calm, affectionate, and easy-going boy. One of Tommy’s favourite things is having a cosy crate to retreat to. He happily walks into his crate on his own and settles quickly, making it a comforting and safe space for him. He has also been very clean indoors and has had no toileting accidents so far, showing excellent house manners. Tommy has a playful side too and absolutely loves toys. Whether it’s carrying them around or enjoying some quiet playtime, toys quickly bring out his happy and relaxed nature. Because Tommy is naturally calm once settled, he may suit apartment living and could potentially cope well with longer periods alone. However, as he can initially feel nervous in unfamiliar environments, he will benefit from patient adopters who can give him time to adjust and build confidence at his own pace. With kindness, understanding, and a little patience, Tommy will reward his new family with loyalty, quiet companionship, and plenty of gentle affection. Meet Tommy at Western Sydney.","tommy-23",""
"2020-12-01","Northern Rivers (Grafton, Lismore, Casino)","956000011576219","Solly","2026-06-01","MALE","","Solly is a striking young man with a personality that’s equal parts energetic and laid-back. He thrives on an active lifestyle—think brisk walks, playtime, and the occasional burst of zoomies to burn off his youthful energy. After he’s had his exercise, Solly transforms into a mellow cuddle enthusiast, always ready to relax with a wagging tail and plenty of affection. His gentle nature would likely fit well into a family environment, and he also might be suited for homes with full-time workers as long as he gets his daily dose of activity. If you’re looking for a loyal companion who can keep up on walks and then happily settle down for some quality downtime, Solly might be the perfect match for you!","solly",""
"2020-04-01","Western Sydney (Londonderry)","956000012161547","Nelly","2026-06-01","FEMALE","","*I am in foster care & available to adopt!* Nelly is a gentle, sensitive soul who is just waiting for the right home to help her truly blossom. While she may be a little shy when meeting new people, once she gets to know you she becomes incredibly sweet, affectionate, and loyal. Nelly is looking for a quiet, calm house or apartment forever home where she can settle into pet life at her own pace. Busy households or lots of noise can feel overwhelming for her, so she would thrive in a peaceful environment with patient adopters who understand that confidence takes time to grow. She has been doing well with consistency in foster care. Because of her sensitive nature, Nelly's ideal home is with an adult-only household or older children aged 16+ with dog experience. She needs a predictable, calm environment to feel safe and secure. She would also really benefit from having a friendly, confident canine companion. A doggy friend could help show her the ropes, build her confidence, and encourage her to relax. Once she feels safe, Nelly settles beautifully indoors and is a huge fan of the couch and resting indoors. Snuggling up for a cozy evening is one of her favorite things! She’s the perfect companion for someone who enjoys quiet nights in, gentle walks, and sharing their home (and sofa!) with a loving best friend. If you have a calm home, a kind heart, and maybe even a friendly resident dog, Nelly could be the perfect addition to your family. Nelly is available via appointment at Western Sydney.","nelly-2",""
"2024-02-01","Western Sydney (Londonderry)","956000015766701","Joany","2026-06-01","FEMALE","","Meet Joany, Joany is a beautiful female Greyhound who is truly a sweet bundle of joy. Full of personality and affection, Joany brings happiness wherever she goes with her bouncy nature and loving heart. She absolutely adores attention and loves spending time with her people, happily soaking up pats, affection, and companionship whenever she can. Joany is an affectionate girl who enjoys being involved in everyday life and will quickly charm everyone she meets with her playful and happy personality. Joany is social with large breed dogs and enjoys canine company, making her a lovely companion both at home and out on walks. One of her favourite things is letting loose and doing zoomies, showing off her fun-loving spirit and joyful energy. With her affectionate nature, playful personality, and endless enthusiasm for life, Joany is ready to find a loving home where she can continue spreading happiness, cuddles, and zoomies every day. Book in to meet Joany in Western Sydney.","joany",""
"2019-09-01","Western Sydney (Londonderry)","956000007830548","Jasper","2026-06-01","MALE","","Jasper is a friendly and confident Greyhound who absolutely loves being around people. He thrives on affection and human interaction and is happiest when he’s included in everyday life with his family. Jasper enjoys being part of the action and will happily seek out attention and cuddles from his favourite humans whenever he gets the chance. With his social and outgoing nature, Jasper is a lovely companion to have around the home. He enjoys company and brings a warm, affectionate presence wherever he goes. His confidence and friendly personality make him an easy dog to bond with, and he loves feeling connected to the people around him. Jasper is social with other Greyhounds and would likely enjoy the companionship of another calm canine friend. He would benefit from a home with a secure backyard where he can stretch his legs, relax outdoors, and enjoy time with his family. Sweet, affectionate, and full of personality, Jasper is ready to find a loving home where he can continue being included, adored, and spoiled with all the attention he deserves. Meet Jasper at Western Sydney.","jasper-8",""
"2024-05-01","Western Sydney (Londonderry)","956000016716304","Rocky","2026-06-01","MALE","","*On adoption trial* Meet Rocky! Rocky is a handsome black male Greyhound with a sweet, confident personality and a love for being involved in everyday life. He is an active and curious boy who enjoys exploring his surroundings and taking in the world around him with enthusiasm and confidence. Rocky is social and well-mannered with both big and small dogs, making him a lovely companion out on walks and in social settings. He may also be able to live with cats, provided introductions are slow, thoughtful, and managed carefully to help everyone settle comfortably. He has a gentle and affectionate nature and enjoys spending time with people. Rocky would suit a home with children aged 8 years and older, and his easygoing temperament makes him the kind of dog who could fit beautifully into many different family environments. With his combination of confidence, sweetness, and sociable nature, Rocky is truly a lovely boy who is ready to become a cherished member of a lucky family. He has so much love to give and is sure to bring joy and companionship wherever he goes. Book in to meet Rocky at Western Sydney.","rocky-18",""
"2021-07-01","Western Sydney (Londonderry)","956000007466485","Uno","2026-06-01","MALE","","Meet Sweet Uno, Uno is a unique and sensitive Greyhound looking for a special home that can appreciate him for exactly who he is. He is a quirky boy with a gentle nature who takes a little time to feel safe and comfortable in new environments and around unfamiliar people. While he may initially come across as shy and reserved, Uno begins to show his sweet personality once trust has been built at his own pace. Uno is searching for a calm, patient, and understanding home that can support his individual needs and allow him the time he requires to settle in and gain confidence. He thrives with gentle handling, consistency, and a quiet environment where he feels secure. Because of his sensitive personality, Uno would be best suited to an adult-only household where life is calm and predictable. He is happy to coexist with other Greyhounds and may enjoy the quiet companionship of another calm canine friend. Uno may not be the kind of dog who rushes into new friendships, but for the right person willing to give him time and understanding, he has the potential to form a deeply rewarding bond. He is a truly special boy looking for someone who will see the beauty in his quiet and quirky nature. Find Uno at Western Sydney.","uno-2",""
