"DATEOFBIRTH","LOCATION","MICROCHIPNUMBER","NAME","RECORDEDDATE","SEX","SPECIFICNEEDS","TEXT","URLNAME","WHATWEHAVENOTICED"
"2021-02-01","Western Sydney (Londonderry)","956000011710246","Whiskey","2025-05-08","MALE","","Cats, birds, dogs, you name it, Whiskey treats everyone big and small as a friend. Sweet boy Whiskey currently lives with cats and small dogs & is a very social & affectionate boy with people. He's also friendly with birds in a cage (see photo). He is soft and gentle around all of GAP's cats, small dogs and greyhounds making him a great addition to a multi-pet household with proper introductions conducted. Whiskey is very affectionate, calm and an all round lovely boy who we can see fitting in to a home with or without children. He has been learning how to be inside the house and is so far going great! He is learning to walk calmly on the lead and someone who can walk a strong dog is his best fit. Reach out to the Western Sydney adoption centre to meet Whiskey.","whiskey-3",""
"2019-06-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000007842424","Julie","2025-05-08","FEMALE","","Miss Julie is a playful, friendly girl who loves her toys, a run around with the other dogs (retired greyhounds and Jug), a splash in her clam shell pool and just being around people and quiet kids 10+, not too rambunctious. She's a bit of a character, loves to show off but she's not over the top, just a happy girl! At 6 she hasn't lost energy but slows down faster and rests longer, especially as she is learning the comforts of retired life! Julie has grown up on the farm and has come into town life ready for her new home. She has taken to a nice cosy bed on the floor and loves being on the patio as well on the warm nights. She would suit a quiet household, and someone with the time to get to know her, take her for a walk and have a bit of playtime in the morning, especially if you are going off to work. Some toys, an outdoor bed, pool, sandpit or another dog friend will keep her company for the day, plus plenty of rests. Someone home more often than not would be perfect. She's easy going and not worried by pet birds, cats or little fluffy dogs. Just a sweetheart ready to relish retired life. 💗","julie-7",""
"2020-02-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000007839957","Goose","2025-05-08","MALE","","Goose is, well, just a big goose! Only 32 kg, gentle and loves attention. He likes to wander around the sheds with his owner and visits the farm border collie who he loves to play with. He's a good traveller, no house experience, but was walked in town as a puppy. He's used to pottering about, but dreams of finding that comfy couch or spot in the garden, patio or verandah. He's friendly and happy to meet new people with a wag of his tail, loves a swim in the dam and loves his toys. He has been around kids 10+, and when you're not around to follow about, he is happy to amuse himself throwing his toys up in the air, especially his beloved soccer ball. Goose is a gentle, happy-go-lucky boy who would make a wonderful, loyal and easy going companion. Goose doesn't bark, except occasionally as a reminder for a bit of attention if you've stopped patting or when its dinner time! He lost 2 toes on his back left foot due to an injury as a puppy, which doesn't bother him, otherwise a healthy lad who has so much love to give. 💙","goose-3",""
"2022-11-01","Hunter Valley (Maitland/ Muswellbrook/Newcastle/Forster)","956000014886701","Yola","2025-05-08","FEMALE","","Yola thrives on social interaction. She's a dynamo, always up for fun, whether it's dashing about or bursting into a sudden sprint. With her angelic demeanor and captivating eyes, she can charm her way out of any mischief she finds herself in. Yola would suit someone who is after a companion to cruise around with day-to-day but also chill out on the couch with.","yola",""
"2020-10-01","Northern Rivers (Grafton, Lismore, Casino)","956000011574989","Paton","2025-05-08","MALE","","Meet Paton, a gentle soul with a heart full of love waiting to be shared. While he may initially appear shy, give him a little time, and you'll discover a warm, affectionate side eager to form a deep bond. Paton flourishes when offered a nurturing environment where patience and kindness are the norms. Once you get to know him, you'll be rewarded with unwavering loyalty and affection. Beyond his loving demeanor, Paton enjoys every moment spent with his humans and takes particular delight in quiet moments together. For those seeking a companion with a nurturing and gentle personality, Paton is ready to fill your days with warmth and love. All he needs is a caring family to call his own.","paton",""
"2022-05-01","Western Sydney (Londonderry)","956000011343487","Hope","2025-05-08","FEMALE","","We hope that you’ll fall in love when you first lay eyes on our beautiful girl, Hope! Hope is a sweet, confident and gentle girl. She enjoys going for walks, walks lovely on the leash, and is beautiful around kids 5-10 years old. A home with respectable children would be suited. This happy vibrant girl is great with other medium to large dogs as well. If you can’t bear the idea of not having Hope in your life then apply to adopt her today!","hope-7",""
"2022-05-01","Western Sydney (Londonderry)","956000011333600","Faith","2025-05-08","FEMALE","","Given up on finding the perfect dog? Have a little faith! This happy excitable girl can't wait to bounce into your home! Faith is a good traveller, great in the car, friendly with people and dogs, and is great on the lead. She's a social and confident girl looking for a family with a townhouse/backyard, respectful kids who will enjoy play time, and a family who will include her in family life including walks and outings. Who are we to mess with faith? Enquire or Apply to Adopt this darling girl from the Western Sydney adoption centre.","faith-2",""
"2022-11-01","Western Sydney (Londonderry)","956000014887185","Dylan","2025-05-08","MALE","","Meet Dylan—a true pocket rocket bursting with energy and enthusiasm for life! This fun-loving boy is always on the go, whether it’s heading out for a walk, sprinting around the yard in full zoomie mode, or playing endlessly with his favourite toys. Dylan thrives in a home that can match his pace and give him the physical and mental stimulation he craves. He’ll need an active household with a good-sized yard and experienced children who are confident around large, energetic dogs. While Dylan doesn’t show strong prey drive, he can be a bit too much for small breeds, so he’s best suited to homes with a robust, playful canine companion of similar size—pending a successful meet and greet. He’s a whirlwind of joy, curiosity, and excitement, and would make a wonderful addition to a family that embraces his zest for life and is ready for all the fun he brings","dylan-1",""
"2016-01-01","Western Sydney (Londonderry)","956000004255194","Raven","2025-05-08","FEMALE","","If you've had your eye on adopting an adorable senior, this might be your perfect match! Raven is a happy little lady ready to take on the world with you. She has an adorable, bright and bubbly nature. She will smother you in pats and be all over you. She is wonderful with other greyhounds, showing off her gentle and polite nature. She loves leaning on people and getting cuddles but also has a lovely independent side. With not a speck of grey on her adorable face you'd have to do a double take to realise this sweet lady was a senior! She has an enormous amount of love to give and we know she will adore being a member of your family. Raven is available at the Western Sydney adoption centre.","r-aven",""
"2021-04-01","Western Sydney (Londonderry)","956000007464633","Sally","2025-05-08","FEMALE","","Say hello to Sally—the life of the party and a greyhound full of bounce, joy, and endless fun! This playful girl loves her toys, lives for a good zoomie session, and thrives in an environment where she can stretch her long legs and let loose. Sally would love a home with a spacious yard and an active lifestyle to match her energy. She isn’t suited to homes with small animals but she’s a great match for other greyhounds or larger breeds who enjoy a good play session, pending a successful meet and greet. Sally is also a total sweetheart with people and doesn’t hold back on affection. Whether it’s leaning into a cuddle, joining in on family activities, or bringing her toy over for a game, she makes every moment fun and full of love. If you're looking for a lively, loving companion who will keep you smiling and moving, Sally might just be the perfect addition to your family.","sally-19",""
"2020-05-01","Western Sydney (Londonderry)","956000007469684","Missy","2025-05-08","FEMALE","","Meet Missy, a gentle and sensitive soul with a quiet nature and a heart full of love to give. She’s looking for a peaceful home where she can take her time to settle in and truly be herself. Missy thrives in calm environments and would prefer a home without other pets—unless it’s another greyhound who shares her relaxed vibe. A yard where she can lounge in the sun or potter about at her own pace would be her dream come true. Once Missy feels safe and comfortable, her secret playful side begins to shine. She has a soft, endearing way of engaging with her people, showing affection and gentle joy that makes every moment with her special. If you're patient, kind, and ready to welcome a sweet girl who just needs a bit of time to bloom, Missy could be the perfect addition to your family.","missy-22",""
"2021-06-01","Western Sydney (Londonderry)","956000013017088","Jake","2025-05-08","MALE","","Jake is a polite boy who can walk up and down stairs here at our centre, and enjoys settling indoors, making him suitable to step paws into an apartment home. He has shown he doesn't mind being alone for a little while, making him suitable for some hours alone. Jake has a calm and polite personality, around dogs and people. He's currently working on becoming friends with smaller dogs which is looking promising. Check back for more updates! If you're looking for a calm and gentle boy, meet Jake, Jake is available at the Western Sydney adoption centre.","jake-7",""
"2021-12-01","Western Sydney (Londonderry)","956000011572232","Teddy Bear","2025-05-08","MALE","","Our chilled out Teddy-Bear is ready to find his toy box! This handsome and gentle boy would suit a home with respectful children, big or small dogs, and of course some teddies to keep him company. Not only is he fabulous around children, he's been learning to go on walks with the kids, and he's well known for being quite confident across the board in many new situations. He would make a wonderful family pet due to his charming and adaptable nature. Teddy Bear is available at Western Sydney's adoption centre.","teddy-bear",""
"2020-02-01","Western Sydney (Londonderry)","956000007833247","Julia","2025-05-08","FEMALE","","Meet Julia, a gentle and affectionate 5-year-old female Greyhound with a heart full of love. She’s incredibly loyal and enjoys being close to her people—her favorite pastime is following her owner around the yard while he mows the lawn, just to be near him. Julia has a calm and sweet temperament that makes her a joy to have around, and she’s always up for some quiet companionship or a relaxing stroll. Julia is well-socialized and polite on walks, getting along well with other dogs she meets along the way. However, she prefers not to be around smaller animals, so a home without cats or small pets would be best. She’d thrive in a family environment, especially one with a yard where she can stretch out and soak up the sun. If you’re looking for a loving, devoted companion, Julia might just be the perfect match.","julia-1",""
"2017-06-01","Western Sydney (Londonderry)","956000005582145","Rambo","2025-05-08","MALE","","Rambo is enjoying living in a foster home in inner Sydney. In just a few weeks Rambo has come out of his shell and shown himself to be an affectionate, playful, curious and silly boy. His favourite hobbies include napping on the floor, asking for cuddles (and cheese), and of course exploring the neighbourhood on his daily walks. Well-suited for apartment living, Rambo now has his ‘stairs license’ and can confidently climb several floors. Rambo has a lot of love to give, and would therefore thrive in a calm environment. While he’s very obedient and respectful, Rambo is still working on his skills of independence and improving his confidence when being left alone for longer periods of time. He would enjoy a home with a laid back type of life. Known to roach and chill out, Rambo would be an amazing addition for a laid back couple with some hours alone, retirees due to his gentle nature, or a work from home lifestyle, as long as he gets a couple of short toilet walks around the block. He is well versed in being an apartment hound, but of course he would love a backyard if you had one too! Rambo is available from the Western Sydney adoption centre. **Rambo is on daily medication - enquire with GAP for more info**","rambo-2",""
"2020-07-01","Western Sydney (Londonderry)","956000011710042","Willow","2025-05-08","FEMALE","","Willow is a cute girl, who is social with greyhounds, small dogs and cats here at our Western Sydney adoption centre. She does well on walks, showing off her nice leash manners. She would do well with a confident/calm dog or cat friend. Willow could suit a house with a backyard or a unit/apartment as she is good at stairs and settles well on her own inside and outside Willow's friendly disposition makes her great for families looking to add a companion who’s both loving and easy going. She gets along wonderfully with animals and would thrive in a household where she can share her days with furry siblings. She’s ready to become a beloved member of your family, filling your home with warmth, joy, and countless tail wags. Enquire with the Western Sydney team to meet her.","willow-8",""
"2021-01-01","Western Sydney (Londonderry)","956000014517890","Jackson","2025-05-08","MALE","","Jackson is a sweet boy with a lot of love to give! He is polite with big and small dogs and would enjoy further socialisation and getting to know other dogs and people! He would enjoy a home with another canine companion and has shown to be polite with all sizes. We think Jackson would enjoy a quiet neighbourhood to enjoy the serenity, and older respectful children who can give him space when he needs some peace and quiet. Jackson is also suited to living in an apartment home. We know Jackson will make a wonderful pet! Jackson is available from the Western Sydney adoption centre.","jack-25",""
"2021-06-01","Western Sydney (Londonderry)","956000007464883","Pocket","2025-05-08","FEMALE","","Pocket is a bouncy, fun little thing! She would enjoy a yard to call her own and while not a necessity, she would enjoy living with another medium to large doggie friend. She is a wiggly, adorable, affectionate girl who is known for her love of toys and fun loving personality. We are still getting to know Pocket here at the Western Sydney adoption centre so check back soon for updates. Pocket is available at the Western Sydney adoption centre.","pocket-1",""
"2021-08-01","Western Sydney (Londonderry)","956000007420572","Grace","2025-05-08","FEMALE","","Grace is a cute little girl who's spent time around kids 5-10 years old. Her playful spirit will surely keep the little ones entertained while you enjoy her affectionate and charismatic nature. She is a confident, vibrant girl who will enjoy an active lifestyle and a backyard to call her own. She is suitable to live with other medium-large hounds, too. We are still getting to know Grace at the adoption centre so stay tuned for updates. She is available at the Western Sydney adoption centre.","grace-8",""
"2019-12-01","Western Sydney (Londonderry)","956000007843168","Dumpling","2025-05-08","FEMALE","","This small and cute little dumpling is bursting with happiness and affection. She definitely has a playful side (check out the cute video!), she will delight you with her bouncy zoomies and goofy play! Dumpling loves her humans and would suit a home where someone is home more often than not. However she does also love the company of other medium-large sized dogs and would be more than happy to wait for full time workers to get home if she had another hound to hang out with. A home with older, respectful children would be fine by Dumpling provided they don't mind her bubbly energy. We’re hoping dumpling won’t be on the GAP menu long! Fill out an application online today to place your order!","dumpling-1",""
