"DATEOFBIRTH","LOCATION","MICROCHIPNUMBER","NAME","RECORDEDDATE","SEX","SPECIFICNEEDS","TEXT","URLNAME","WHATWEHAVENOTICED"
"2021-12-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000007428741","Bobby","2025-10-31","MALE","","Meet Bobby, the gentle soul. He's a sweet and loving boy who has stolen the hearts of everyone he meets. He loves kids 5-10+ with his gentle demeanour, loves pats and also play. He has a knack for snuggling, making him the perfect companion for those cosy, cold days. He'll happily curl up beside you, providing warmth and affection whenever you need it. Bobby is almost fully housetrained, making him an easy-going addition to any home, including other pets. He plays with dogs big and small, loves walks, enjoying the sights and smells around him, but he's also equally happy at home as your one and only companion, where he loves to be around you or play in the backyard, throwing a tennis or soccer ball to him and even watching TV! If you’re looking for a loyal friend who thrives on companionship and affection, Bobby is your boy! *Come meet Bobby at the Binalong Community Market Day on Sunday 9th November, 10am- 1pm.","bobby-14",""
"2021-04-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000007461135","Bull","2025-10-31","MALE","","Bull is a nice boy who loves, playing, loves affection, is good on the lead. He likes meeting new people and new critters on his walks and is very social and outgoing with great character. He has been getting experience coming inside. There something about Bull that you will love.","bull-2",""
"2021-04-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000011712884","Matilda","2025-10-31","FEMALE","","Matilda is a sweet well balanced girl that would suit the life of looking after the yard during the day and coming in to cuddle up to her family at night. She is getting good experience coming into the home at the moment and enjoys her time in the yard. She enjoys her walks and making friends with the school kids and other pets that are out and about.","matilda-2",""
"2021-04-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000011704182","Harry","2025-10-31","MALE","","Harry is an affectionate gentlemen. He knows his name and will come upon being called. Harry enjoys a walk and likes to relax in the yard or around the house. He is doing well coming in the home and relaxing for long periods. He is often visited by native animals in the yard and has a neighbouring cat that swings by that he ignores.","harry-15",""
"2019-06-01","Northern Rivers (Grafton, Lismore, Casino)","956000007853681","Penny","2025-10-31","FEMALE","","Meet Penny🎾🐾 Penny is a bright, bubbly greyhound with a zest for life and a serious love for fetch! Toss a ball and watch her light up with joy – she could play all day if you let her. Her playful spirit and happy nature make her an absolute delight to be around. Always cheerful and full of personality, Penny brings positive energy wherever she goes. She travels well in the car, making her a great companion for outings and adventures, and she’s perfectly content relaxing in her crate when it’s time to wind down. Penny is the perfect mix of fun and easy going. Whether she’s chasing a ball, enjoying a ride, or snoozing in her crate after a busy day, she does it all with a wagging tail and a happy heart.","penny-11",""
"2021-04-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000007432816","Bobby","2025-10-31","MALE","","Bobby is a charming well mannered boy. He has grown up in a semi-rural setting surrounded by native animals, farm animals and other greyhounds. He is happy sharing his space and is comfortable on his own. He is friendly and social with everybody he meets. He travels well on the road and is good on the lead.","bobby-13",""
"2021-04-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000011713188","Mikey","2025-10-31","MALE","","Mikey is a handsome hound who is comfortable to be on his own looking after things while your at work. He is very social and has been exposed to a lot of the world that some dogs may not be use to like trains, cattle, native animals and he travels well on the road. He is happy to make new friends and get out and about and like most greyhounds is happy to relax. He has had some house experience and is wonderful company.","mikey-3",""
"2019-12-01","Western Sydney (Londonderry)","956000007465978","Tiny","2025-10-31","FEMALE","","Tiny is a quiet little girl who is very sweet & often shy with new people. She becomes sweet and affectionate once you get to know her. A house or townhouse in the quiet neck of the woods, with a nurturing owner, would be the best fit for Tiny. She could also live in an apartment if it's spacious/quiet with safe zones to call her own - eg baby gates and secluded spaces. A quiet home where she can settle in and thrive would be perfect for Tiny, this means a home without children and pets/dogs. She can do stairs & enjoys sleeping in a crate, however not required. She has shown she can settle for longer periods here and would suit working up to full timers. It would be amazing to see someone nurture her confidence and guide her through the world. She becomes playful, loves chasing toys around, likes treats and food, and walks nicely on the lead. She's happy to take treats and likes learning and training. Tiny is a sweet little dog who will make an amazing pet once she has settled in. If you think Tiny sounds like the right girl for you then apply to meet her today.","tiny-9",""
"2022-04-01","Hunter Valley Mid Coast (Maitland/ Muswellbrook/Newcastle/Forster)","956000011312242","Beast","2025-10-31","MALE","","Meet Beast🐾 Despite his name, Beast is just a big goofball with an even bigger heart! This happy boy has perfected the art of smiling — seriously, one look at that grin and you’ll be smitten. Add in his constantly wagging tail, and you’ve got a living, breathing happiness machine! Beast is a true socialite who adores the company of his fellow greyhounds. Whether it’s a gentle play session or a backyard zoomie, he loves being part of the gang. Toys? Don’t even get him started! Beast is a toy enthusiast — squeaky, bouncy, or chewy, he’s not picky. Watching him toss his toys around is guaranteed entertainment. He also enjoys exploring a backyard, sniffing out all the best spots, and showing off his model-like strut (with a grin, of course). Beast is crate-savvy and perfectly happy to come and go as he pleases — he treats it like his personal den where he can relax after a busy day of smiling and tail-wagging. He’s engaging, affectionate, and loves to greet everyone he meets…no one escapes a “hello” from Beast! If you’re searching for a companion who brings sunshine, smiles, and maybe a few stolen socks into your life, Beast is your guy. With his charming personality and endless enthusiasm, this not-so-beastly boy is ready to fill your home (and your heart) with joy. 💚","beast",""
"2021-12-01","Hunter Valley Mid Coast (Maitland/ Muswellbrook/Newcastle/Forster)","956000011705357","Flash","2025-10-31","MALE","","Meet Flash🐾 Flash is a handsome, larger-than-life greyhound with a personality to match his size! This gentle giant is all about the simple pleasures — tasty treats, comfy naps, and plenty of pats from his favourite humans. While he’s friendly with other greyhounds and enjoys their company, Flash would really shine as the only pet in his forever home, where he can soak up all the love and attention for himself. He’s a relaxed, easy-going boy who’s just as happy lounging around as he is joining you for a gentle walk. Food-motivated and eager to please, Flash is the perfect mix of affectionate and laid-back — a true heart-stealer waiting for his perfect match. If you’re looking for a loyal, chilled-out companion who’ll fill your home with love (and maybe claim the comfiest spot on the couch), Flash might just be the one for you!","flash-9",""
