"DATEOFBIRTH","LOCATION","MICROCHIPNUMBER","NAME","RECORDEDDATE","SEX","SPECIFICNEEDS","TEXT","URLNAME","WHATWEHAVENOTICED"
"2022-10-01","Hunter Valley (Maitland/ Muswellbrook/Newcastle/Forster)","956000014886035","Maggie","2024-10-14","FEMALE","","Are you after a fun new family member that you can help show the ropes of being a pet? Meet Maggie, our young, fun, pocket rocket. Maggie is a sweet and playful girl who still has a big puppy personality. She can still get scared of loud noises and not quite sure what to do when she is on a lead but with a bit of nurturing, we are sure she will pick it up quickly. She travels well and has been around children 18months + but would be better suited to older children while she learns boundaries. If you're interested in knowing more about Maggie, please reach out!","maggie-12",""
"2022-01-01","Western Sydney (Londonderry)","956000013022800","Cilantro","2024-10-14","MALE","","Cilantro is a young & sweet boy. His adorable nature & curious enthusiasm makes him a perfect companion for many family types. This bouncy, friendly and wiggly little guy can be curious about the world but his adaptable personality means he'll fit in seamlessly with any loving household, whether you're a first-time pet parent or adding to an existing furry family. He loves treats, toys & loves a little zoomie with a short burst of energy, so would benefit from a courtyard or backyard. A few hours alone are no problem with Cilantro as he has shown to cope well in alone time sessions, so if you’re looking for an easy-going & charming boy to complete your family, get in touch with Wester Sydney. Cilantro is available from our Western Sydney adoption centre!","cilantro",""
"2019-11-01","Western Sydney (Londonderry)","956000012247542","Buddy","2024-10-14","MALE","","Buddy is a beautiful hound who is happy relaxing and getting comfortable in life. He is a bubbly, social boy who could suit an apartment home, too. Buddy is a sophisticated greyhound who's less ""zoomies"" and more ""zen mode."" He's seeking a serene sanctuary where he can ponder life's mysteries without the pesky interruptions of a busy neighbourhood. With his refined tastes, Buddy dreams of a backyard or quiet apartment, where he can channel his inner philosopher, a quiet neighbourhood where the only disturbances are the rustle of leaves, and teenage plus children who understand the importance of naptime etiquette. Buddy is available from our Western Sydney adoption centre.","buddy-12",""
"2022-03-01","Hunter Valley (Maitland/ Muswellbrook/Newcastle/Forster)","956000011307961","Michael","2024-10-14","MALE","","Let me introduce Micky! A really kind and playful boy who enjoys his vegemite toast. Micky has met a few small dogs in his time and wasn't too fazed by them at all. His laid back nature has been great for children ages 9+ to grow any confidence around a larger breed dog. He will happily follow you around and is extremely well mannered on lead. Micky had a racing injury which resulted in a fractured hock, which currently has some hardware in but doesn't effect his everyday movements.","michael",""
"2019-11-01","Western Sydney (Londonderry)","956000006666501","Diesel (Western Sydney)","2024-10-14","MALE","","All aboard the love train, destination Diesel! It'll be full steam ahead when you meet Diesel! This gorgeous young boy is such a sweet guy. He just loves people and getting pats! Although Diesel loves to go for walks, he is perfectly happy hanging out inside and requires a backyard with indoor outdoor access during the day. A home with adults only be best suited for this fun loving boy. Diesel would prefer to be the only boy in your home, he's got lots of love to give and wants to be the centre of your world just like you will be his. Time to get up and head to the door, you won't want to miss this stop! If you'd like to choo-choo-choose Diesel then apply to adopt him today!","diesel-2",""
"2021-01-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000006354280","Bob","2024-10-14","MALE","","Bob is a really special boy who is looking for his perfect forever home Bob takes a little time adjusting to a new lifestyle but once he is settled he is a big goofball who loves company. Bob prefers company but is fine being left alone for long periods of time if he has a few toys and a bone to pass the time. Bob is active at first on lead but settles very quickly and walks perfectly. once Bobs energy is out for the day you’ll find him living the life in the sun","bob-12",""
"2021-01-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000006355376","Spike","2024-10-14","MALE","","Spike is a beautiful black boy with white socks. Socks is a little rascal that loves to play around the backyard. Spike is fine with being left alone for working hours but definitely enjoys a few toys or a bone to help pass the time. Spike has a great positive energy and would be ideally suited to a young active person or couple who are looking for a couple","spike-6",""
"2023-02-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000014943986","Jacko","2024-10-14","MALE","","This handsome youngster is confident, playful and very friendly. He is still young, active and a little bit clumsy however he has lots of love to give. He is a beautiful boy with a lot to offer. Would make a great companion.","jacko-3",""
"2021-01-01","Southern NSW/ACT (Bulli, Nowra, Goulburn, Canberra)","956000011576457","Ally","2024-10-14","FEMALE","","Ally is a beautiful hound who is great with kids and everyone she meets. Since she was a pup she has been getting walked by the local kids in the area. She is a good balance of gentle and playful and would be a great addition to the family.","ally-2",""
"2021-11-01","Western Sydney (Londonderry)","956000013021593","Wilma","2024-10-14","FEMALE","","Wilma is such a special girl that one of our GAP staff has taken her home for a sleep over! This quiet natured girl is showing amazing resilience and requires a quiet home to thrive in. She is incredibly dog social and would love a play mate. She however, is happy to relax while you're gone, with or without a dog friend to keep her company. Whether you have another dog or looking for a dog to have play dates with, Wilma will be by your side. She is a shy girl who finds that dogs give her more confidence. A home without children is best suited to her while she learns about the world. Her love of treats and toys is her motivator for learning new tricks and building confidence! She is an affectionate and goofy girl once you get to know her Wilma is available from our Western Sydney adoption centre.","wilma-1",""
