"DATEOFBIRTH","LOCATION","MICROCHIPNUMBER","NAME","RECORDEDDATE","SEX","SPECIFICNEEDS","TEXT","URLNAME","WHATWEHAVENOTICED"
"2020-10-01","Western Sydney (Londonderry)","956000011576275","Minnie","2026-04-07","FEMALE","","*Minnie is in a foster care home* Foster update: ""Minnie can be left alone for a couple of hours, we leave her in our enclosed garden. She has mastered the steps. She has met children (my grand son is 11), she is excellent with kids. Minnie has gone to the café, loves walks & has gone to the field when my grandson plays soccer. We have noticed Minnie loves to be in open spaces, loves raw bones & roast chicken. She has an excellent character. She loves car rides, jumps into the car herself, very well toilet trained, does not bark when left alone, sleeps through the night, suits apartment living, loves one walk a day"" ---------- Minnie is a sweet, bubbly girl. Minnie is friendly, affectionate, a tad goofy, and oh so lovable! Minnie is a great blend of silly and calm, being middle aged she's ready to kick off her lounge lizard era, and can't wait to meet you! A home with a yard to perfect her zoomies, and some children to entertain her after school, would be a great fit. She also suits apartment living due to enjoying being indoors, being toilet trained, and happy to sit inside with you. In return Minnie promises to keep everyone upbeat and having fun every day. This gorgeous girl can be adopted at our Western Sydney Adoption Centre.","minnie-8",""
"2022-11-01","Western Sydney (Londonderry)","956000011348690","Clavell","2026-04-07","FEMALE","","Clavell is a gentle, shy girl who has been living as a pet while awaiting her forever home. In this time she has learnt toilet training, sleeps indoors, and has spent time with kids aged 12 and 14. She is low confidence at heart and needs time and patience to feel safe. Clavell is best suited to a calm, experienced home that can give her the time and understanding she needs to build confidence and feel secure. She would love a backyard and a home without loud/excitable kids. Meet Clavell at Western Sydney,","clavell",""
"2020-02-01","Western Sydney (Londonderry)","956000007839382","Carrie","2026-04-07","FEMALE","","Carrie is a sweet, shy girl who needs time to warm up to new humans. She would benefit from a quieter home with a gentle approach to introducing her to all things pet life. Carrie likes the simple things, being outdoors, the sunshine, playing with a ball or sunbaking. She also loves water. Carrie is a gentle, middle-aged girl with a calm, mostly independent nature. She enjoys quietly exploring her surroundings and is happy doing her own thing, making her a great match for someone looking for a laid back, low maintenance type pet. Carrie is polite around other larger dogs and can live with a medium to large dog. She walks beautifully on lead and is generally easy to handle, though she can be shy. Carrie will thrive in a calm, predictable home where she can settle in at her own pace. Meet Carrie at Western Sydney!","carrie-2",""
"2019-10-01","Western Sydney (Londonderry)","956000007851676","Yoko","2026-04-07","FEMALE","","Yoko is a friendly and curious, bubbly greyhound with a sweet, wiggly greeting and a love of human company. She walks well on lead, comes when called, and enjoys meeting new people. In new environments, Yoko can be a little excited at first but settles as she grows more comfortable. She is happy to mingle with other dogs her size and can be rehomed with medium to large dogs. She also loves the water! Yoko is a lovely girl who will thrive in a calm, supportive home where she can have an outlet for fun, games and enrichment, and a family who will support her confident bubbly nature. Meet Yoko at Western Sydney.","yoko",""
"2023-11-01","Northern Rivers (Grafton, Lismore, Casino)","956000017132572","Slim","2026-04-07","MALE","","Meet Slim! Slim is a young greyhound who has decided that the pet life is definitely for him. As a young dog, he will benefit from some ongoing training and guidance, and he is a strong, active boy who will enjoy regular exercise and mental stimulation. Slim has met small dogs and has been polite and friendly in his interactions. He has adorable lopsided ears, which certainly don’t stop him from hearing the crinkle of a biscuit packet or the jingle of a treat pouch. Slim is a real stickybeak who loves to be involved in whatever is happening around him and enjoys being part of the action. With the right home willing to invest time in his training and include him in daily life, Slim will make a fun and rewarding companion.","slim-4",""
"2021-09-01","Western Sydney (Londonderry)","956000007426320","Maddie","2026-04-07","FEMALE","","Little 25kg Maddie is friendly to kids, and has a quiet and gentle personality. She had a docile and shy personality, and would suit a quiet lifestyle to begin her adoption journey. A backyard or townhouse is best suited so she can enjoy some peace and quiet when needed. She is gentle with other dogs his size, and can live alongside respectful children as she has had some exposure to kids before. Maddie is a sweet girl who will thrive as a pet in a calm and understanding home! Meet Maddie at Western Sydney.","maddie-5",""
"2022-09-01","","956000014889796","Jamima","2026-04-07","FEMALE","","Jamima 🖤 Jamima is a sweet, easy-going girl who’s happy doing her own thing while still being close to her people. She has a calm, independent nature and is more than content to potter around, find a comfy spot, and settle in for a good chill. While she enjoys her quiet time, Jamima is also a gentle companion who will happily come over for pats and share those soft, special moments with you. She’s the perfect balance of independent and affectionate never demanding, just quietly lovely to have around. If you’re looking for a low-key, sweet girl who will fit seamlessly into your home, Jamima might just be your perfect match.","jamima",""
"2022-06-01","Western Sydney (Londonderry)","956000011362603","Dom","2026-04-07","MALE","","Meet Dom, an energetic and excitable young man, he will keep you entertained with his antics and happy personality. Whether it's zooming, finding toys and playing with them, exploring the garden or getting cuddles, Dom is all about fun and games. Dom would suit a family with older children who have an active lifestyle. An owner who can walk a stronger dog on the leash would be a great fit as he still has excitable moments on the lead when you first get going, but calms nicely. A backyard is a must for Leo as he is itching to get out and about. He's learnt his name, and also mingles nicely with other dogs his size. If you're looking for a confident, charming boy, meet handsome Dom at Western Sydney,","dom-3",""
"2023-12-01","","956000016781139","Beauty","2026-04-07","FEMALE","","Beauty 🖤 True to her name, Beauty is a gentle, calming soul who will quietly steal your heart. With her cutest floppy ears and soft, loving nature, she’s happiest when she’s by your side soaking up pats and affection. She’s an easy-going girl who doesn’t ask for much, just a comfy spot, kind company, and plenty of cuddles. Whether it’s lounging around the house or enjoying a relaxed day with her humans, Beauty is more than happy to simply hang out and be your loyal companion. If you’re looking for a sweet, affectionate girl with a peaceful presence, Beauty is your perfect match.","beauty-2",""
"2024-03-01","Riverina (Wagga, Temora, Gundagai, Griffith)","956000013235511","Snow","2026-04-07","MALE","","Meet Snow – Your Happy, Gentle Companion! '🐾💙 Snow is a handsome, affectionate young lad who’s ready to bring love and laughter into his forever home. With his easy going nature and friendly personality, Snow quickly wins over everyone he meets. He’s wonderful on the lead, making walks a breeze, and he absolutely adores getting out and about for daily adventures. Snow is especially fond of people and thrives on attention - whether it’s pats, cuddles, being dressed up by the kids or simply being by your side. He’s great with children aged 6–11 and has a gentle, calm demeanor that makes him a lovely family companion. At home, he gets along beautifully with a pet Dachshund and other retired greyhounds. This sweet boy would love to be part of a family lifestyle. He enjoys car rides, tagging along for school pick-ups and going on walks. Snow is happiest when he’s included in everyday moments, soaking up the love and sharing his cheerful spirit.","snow-7",""
